"","Nested_Level","Block","File","N_genes","Internal_degree","Assortativity","Name","Parent","p.adjust","n_enrich","n_enrich_simple"
"73",1,72,"/72-13-5-0-0.csv",14,182,0.00365501974799763,"72-13-5-0-0","13",0.000110123749011045,8,6
"74",1,73,"/73-7-2-2-1.csv",9,72,-0.001027443293526,"73-7-2-2-1","7",0.230144845554815,0,0
"75",1,74,"/74-17-3-0-0.csv",26,308,0.0227313117777139,"74-17-3-0-0","17",0.454708608748996,0,0
"76",1,75,"/75-19-0-0-0.csv",20,368,0.0145428397905036,"75-19-0-0-0","19",0.136970463147472,0,0
"77",1,76,"/76-15-5-0-0.csv",28,720,0.0379600157541139,"76-15-5-0-0","15",4.02606079203427e-07,32,17
"78",1,77,"/77-8-4-1-1.csv",22,462,0.000305212089522476,"77-8-4-1-1","8",0.0251707648670107,1,1
"79",1,78,"/78-18-1-2-1.csv",17,170,0.0126988938270552,"78-18-1-2-1","18",7.66116178974224e-07,19,6
"80",1,79,"/79-14-2-2-1.csv",18,246,0.0106796090890318,"79-14-2-2-1","14",9.9076635710842e-11,38,17
"81",1,80,"/80-13-5-0-0.csv",17,272,0.0105929232306658,"80-13-5-0-0","13",0.0443800691473395,1,1
"82",1,81,"/81-11-0-0-0.csv",12,94,0.00161090620267622,"81-11-0-0-0","11",0.0577319275521985,0,0
"83",2,0,"/0-0-0-0.csv",253,7248,0.12945464400411,"0-0-0-0","0",1.11658459858806e-07,97,34
"84",2,1,"/1-1-2-1.csv",513,6600,0.123038507029269,"1-1-2-1","1",1.35342506795777e-11,156,54
"85",2,2,"/2-2-2-1.csv",211,7584,0.102353711800892,"2-2-2-1","2",1.15166732465128e-06,20,8
"86",2,3,"/3-1-2-1.csv",623,4142,0.082555519269947,"3-1-2-1","1",0.000315126093969223,70,32
"87",2,4,"/4-0-0-0.csv",403,5010,0.0841954852820536,"4-0-0-0","0",0.00667987314259621,15,12
"88",2,5,"/5-4-1-1.csv",188,29104,0.26269046562113,"5-4-1-1","4",5.81212365836498e-12,45,23
"89",2,6,"/6-0-0-0.csv",398,9720,0.149549972303703,"6-0-0-0","0",1.21009486390531e-07,83,37
"90",2,7,"/7-2-2-1.csv",152,2538,0.0299449252910665,"7-2-2-1","2",3.22683495963077e-08,11,5
"91",2,8,"/8-4-1-1.csv",186,25288,0.207680317673015,"8-4-1-1","4",1.10917745064754e-59,39,13
"92",2,9,"/9-3-0-0.csv",231,3376,0.0692420882279092,"9-3-0-0","3",1.8109425678648e-16,50,16
"93",2,10,"/10-1-2-1.csv",267,772,0.0148833589784645,"10-1-2-1","1",0.0489368939264907,2,2
"94",2,11,"/11-0-0-0.csv",179,2132,0.0226528754376744,"11-0-0-0","0",0.0165674670515723,17,9
"95",2,12,"/12-1-2-1.csv",243,2844,0.0474125868809617,"12-1-2-1","1",2.63121762622116e-11,38,17
"96",2,13,"/13-5-0-0.csv",113,8642,0.101495477596955,"13-5-0-0","5",7.8302351293291e-13,27,15
"97",2,14,"/14-2-2-1.csv",254,2850,0.0350760507194012,"14-2-2-1","2",0.000102058497028965,37,15
"98",2,15,"/15-5-0-0.csv",222,21160,0.317870788441319,"15-5-0-0","5",1.28134777039908e-12,152,65
"99",2,16,"/16-3-0-0.csv",173,6488,0.120534252566786,"16-3-0-0","3",0.00259436182545757,5,2
"100",2,17,"/17-3-0-0.csv",147,2232,0.0371396695511259,"17-3-0-0","3",3.18793782878592e-10,12,4
"101",2,18,"/18-1-2-1.csv",176,1698,0.0322317200630966,"18-1-2-1","1",0.00174965083322998,42,21
"102",2,19,"/19-0-0-0.csv",100,5944,0.0907122863340081,"19-0-0-0","0",0.000116625449459319,81,36
"103",2,20,"/20-1-2-1.csv",229,718,0.0141330595181045,"20-1-2-1","1",0.00576019768472752,2,2
"104",3,0,"/0-0-0.csv",1333,75112,0.197488952551214,"0-0-0","0",7.96156267486731e-18,315,118
"105",3,1,"/1-2-1.csv",2051,48948,0.218324080470782,"1-2-1","2",1.36505234531144e-16,281,84
"106",3,2,"/2-2-1.csv",617,23370,0.0466944818158535,"2-2-1","2",1.30008455464673e-10,60,21
"107",3,3,"/3-0-0.csv",551,25112,0.123727110547617,"3-0-0","0",1.57105250525159e-28,38,11
"108",3,4,"/4-1-1.csv",374,106034,0.250910508302661,"4-1-1","1",9.57960851288878e-40,68,24
"109",3,5,"/5-0-0.csv",335,32116,0.0618224047587103,"5-0-0","0",6.15895975858809e-11,129,57
"110",4,0,"/0-0.csv",2219,246814,0.16842419737313,"0-0","0",8.33518898870283e-22,404,127
"111",4,1,"/1-1.csv",374,106034,0.12545525415133,"1-1","1",9.57960851288878e-40,68,24
"112",4,2,"/2-1.csv",2668,93884,0.0982980385170169,"2-1","1",4.55901534244405e-13,252,80
"113",5,0,"/0.csv",2219,246814,0.112282798248753,"0",NA,8.33518898870283e-22,404,127
"114",5,1,"/1.csv",3042,314830,0.112282798248753,"1",NA,1.89373880744328e-15,173,75
