Tissue,Gene,Degree,E_corr,SBM-Level-1,SBM-Level-2,SBM-Level-3,SBM-Level-4,SBM-Level-5,WGCNA
body,FBgn0028692,4,0.276717619,12,8,4,1,1,0
body,FBgn0039644,1344,0.334747513,54,2,5,0,0,3
body,FBgn0014427,507,0.297572306,62,19,1,4,1,1
body,FBgn0029176,1498,0.348830513,66,12,1,4,1,2
body,FBgn0028476,100,0.277107159,3,3,2,0,0,0
body,FBgn0003525,1757,0.351977803,34,17,2,0,0,3
body,FBgn0062442,1177,0.331717258,64,19,1,4,1,2
body,FBgn0041186,848,0.314334709,41,11,0,0,0,4
body,FBgn0041588,3,0.264603143,9,8,4,1,1,0
body,FBgn0039638,44,0.278042102,8,7,2,0,0,0
body,FBgn0005596,348,0.29442549,25,7,2,0,0,0
body,FBgn0039634,369,0.295655276,31,11,0,0,0,4
body,FBgn0039632,48,0.27375153,13,0,6,0,0,0
body,FBgn0039668,20,0.272237389,3,3,2,0,0,0
body,FBgn0039665,290,0.289497881,25,7,2,0,0,0
body,FBgn0015622,165,0.304122427,6,20,2,0,0,4
body,FBgn0039674,96,0.280702779,33,16,3,1,1,5
body,FBgn0039678,75,0.283580922,29,5,4,1,1,5
body,FBgn0039680,195,0.284431734,13,0,6,0,0,0
body,FBgn0024841,48,0.287432035,59,8,4,1,1,0
body,FBgn0042213,155,0.282143243,5,5,4,1,1,1
body,FBgn0039687,2,0.277281911,5,5,4,1,1,0
body,FBgn0039682,1422,0.342387408,57,14,9,1,1,2
body,FBgn0025457,150,0.291244581,13,0,6,0,0,0
body,FBgn0051041,380,0.321211552,11,9,3,1,1,7
body,FBgn0039689,27,0.267731469,5,5,4,1,1,0
body,FBgn0039690,45,0.270280338,33,16,3,1,1,5
body,FBgn0039691,6,0.262996219,5,5,4,1,1,0
body,FBgn0019972,228,0.289775338,46,3,2,0,0,0
body,FBgn0051038,72,0.278256391,7,6,3,1,1,5
body,FBgn0003357,568,0.32521398,52,6,3,1,1,7
body,FBgn0039726,44,0.271427375,29,5,4,1,1,0
body,FBgn0051040,3,0.262821693,5,5,4,1,1,0
body,FBgn0003358,77,0.346420552,11,9,3,1,1,1
body,FBgn0003356,325,0.316223984,11,9,3,1,1,1
body,FBgn0039712,16,0.270751741,8,7,2,0,0,0
body,FBgn0039710,392,0.291095845,13,0,6,0,0,4
body,FBgn0039705,121,0.278360136,13,0,6,0,0,0
body,FBgn0002924,73,0.280597125,8,7,2,0,0,0
body,FBgn0039697,1601,0.348891903,69,14,9,1,1,2
body,FBgn0020235,1887,0.362192466,70,14,9,1,1,2
body,FBgn0027518,7,0.269277861,8,7,2,0,0,0
body,FBgn0039733,534,0.29783066,31,11,0,0,0,4
body,FBgn0016685,281,0.299242507,10,5,4,1,1,1
body,FBgn0003512,54,0.279723016,0,0,6,0,0,0
body,FBgn0039741,28,0.270312654,8,7,2,0,0,0
body,FBgn0039756,856,0.336313293,43,4,1,4,1,6
body,FBgn0039755,926,0.320337389,56,19,1,4,1,2
body,FBgn0039754,950,0.324345513,65,12,1,4,1,1
body,FBgn0039751,5,0.269520606,33,16,3,1,1,0
body,FBgn0003479,2,0.259157696,8,7,2,0,0,0
body,FBgn0002626,1506,0.366397186,50,1,7,1,1,2
body,FBgn0001280,80,0.284080153,29,5,4,1,1,1
body,FBgn0039737,1026,0.318562959,51,18,1,4,1,7
body,FBgn0039735,14,0.268443913,29,5,4,1,1,0
body,FBgn0039730,62,0.278560775,3,3,2,0,0,0
body,FBgn0039761,622,0.324716486,52,6,3,1,1,2
body,FBgn0010113,785,0.310745912,23,2,5,0,0,3
body,FBgn0015221,1593,0.350985827,67,18,1,4,1,6
body,FBgn0039765,6,0.273348455,29,5,4,1,1,0
body,FBgn0039767,81,0.275519037,0,0,6,0,0,0
body,FBgn0039764,14,0.268389515,8,7,2,0,0,0
body,FBgn0015222,1526,0.351429993,58,12,1,4,1,6
body,FBgn0039776,755,0.314291605,56,19,1,4,1,2
body,FBgn0039778,821,0.334472564,52,6,3,1,1,7
body,FBgn0082582,15,0.269454204,12,8,4,1,1,0
body,FBgn0039790,1,0.30696929,9,8,4,1,1,0
body,FBgn0039777,683,0.332905764,52,6,3,1,1,7
body,FBgn0039773,3,0.263978731,8,7,2,0,0,0
body,FBgn0028646,213,0.285959847,33,16,3,1,1,1
body,FBgn0039802,58,0.279191134,29,5,4,1,1,0
body,FBgn0027598,5,0.277234627,6,20,2,0,0,0
body,FBgn0000416,1298,0.331433379,67,18,1,4,1,2
body,FBgn0011739,367,0.292586958,27,0,6,0,0,4
body,FBgn0039801,140,0.281088857,7,6,3,1,1,1
body,FBgn0039800,1698,0.353939044,66,12,1,4,1,2
body,FBgn0016123,230,0.285975914,24,9,3,1,1,1
body,FBgn0002413,1629,0.353019231,38,17,2,0,0,3
body,FBgn0010808,533,0.309847436,18,10,4,1,1,2
body,FBgn0039828,1,0.255489504,12,8,4,1,1,0
body,FBgn0039831,60,0.278716446,3,3,2,0,0,0
body,FBgn0039835,82,0.279749849,29,5,4,1,1,5
body,FBgn0039830,2112,0.383984369,68,14,9,1,1,2
body,FBgn0039829,1,0.26371963,9,8,4,1,1,0
body,FBgn0061476,151,0.279074324,0,0,6,0,0,0
body,FBgn0051004,719,0.340324055,43,4,1,4,1,6
body,FBgn0028968,4,0.265138325,5,5,4,1,1,0
body,FBgn0003268,132,0.278350315,0,0,6,0,0,0
body,FBgn0039856,36,0.279930505,33,16,3,1,1,0
body,FBgn0039858,207,0.308295949,6,20,2,0,0,0
body,FBgn0039857,1780,0.367574925,75,1,7,1,1,2
body,FBgn0043900,1127,0.326213518,2,2,5,0,0,3
body,FBgn0039849,6,0.276732895,5,5,4,1,1,0
body,FBgn0039860,51,0.271787686,0,0,6,0,0,0
body,FBgn0039863,385,0.293360609,27,0,6,0,0,4
body,FBgn0003870,17,0.27686533,12,8,4,1,1,0
body,FBgn0039868,3,0.264014659,12,8,4,1,1,0
body,FBgn0039869,5,0.288998019,59,8,4,1,1,0
body,FBgn0039870,1,0.260684373,9,8,4,1,1,0
body,FBgn0022349,173,0.286784408,6,20,2,0,0,0
body,FBgn0005632,88,0.271844359,13,0,6,0,0,0
body,FBgn0027620,730,0.309990115,41,11,0,0,0,0
body,FBgn0039877,4,0.26954763,12,8,4,1,1,0
body,FBgn0039873,1308,0.333883428,57,14,9,1,1,2
body,FBgn0017448,2,0.274017711,5,5,4,1,1,0
body,FBgn0039872,205,0.285502528,4,4,1,4,1,1
body,FBgn0000150,514,0.329897438,17,1,7,1,1,2
body,FBgn0039867,1,0.269624141,9,8,4,1,1,0
body,FBgn0002780,34,0.281457715,12,8,4,1,1,0
body,FBgn0002645,77,0.285302226,3,3,2,0,0,0
body,FBgn0040206,745,0.311355573,45,15,6,0,0,3
body,FBgn0011224,670,0.303914694,23,2,5,0,0,3
body,FBgn0032956,247,0.289253759,13,0,6,0,0,0
body,FBgn0032961,20,0.272608614,5,5,4,1,1,0
body,FBgn0000559,1270,0.333900596,63,18,1,4,1,2
body,FBgn0025674,2,0.27587364,8,7,2,0,0,0
body,FBgn0032988,1,0.281948481,8,7,2,0,0,0
body,FBgn0039972,937,0.318039244,15,2,5,0,0,3
body,FBgn0032987,1359,0.365936679,50,1,7,1,1,2
body,FBgn0032979,653,0.307568129,41,11,0,0,0,4
body,FBgn0033065,477,0.302776266,20,6,3,1,1,1
body,FBgn0021847,11,0.269028648,8,7,2,0,0,0
body,FBgn0000546,136,0.2800751,0,0,6,0,0,0
body,FBgn0033062,839,0.312759317,15,2,5,0,0,3
body,FBgn0033052,55,0.27952315,6,20,2,0,0,0
body,FBgn0000043,1121,0.32229589,51,18,1,4,1,2
body,FBgn0027507,35,0.276528334,3,3,2,0,0,0
body,FBgn0033032,2,0.271331768,8,7,2,0,0,0
body,FBgn0022288,2,0.290407156,29,5,4,1,1,0
body,FBgn0033038,40,0.269966984,7,6,3,1,1,5
body,FBgn0033029,4,0.272584264,3,3,2,0,0,0
body,FBgn0039970,429,0.29369604,11,9,3,1,1,1
body,FBgn0033028,37,0.269179206,3,3,2,0,0,0
body,FBgn0039969,563,0.301482478,42,13,4,1,1,1
body,FBgn0042085,810,0.3132494,15,2,5,0,0,3
body,FBgn0029131,185,0.28389884,25,7,2,0,0,0
body,FBgn0050443,2,0.261327142,5,5,4,1,1,0
body,FBgn0013732,915,0.31829099,2,2,5,0,0,3
body,FBgn0033085,1,0.272900929,12,8,4,1,1,0
body,FBgn0033086,1,0.257709695,5,5,4,1,1,0
body,FBgn0033088,6,0.272981307,8,7,2,0,0,0
body,FBgn0014009,2,0.256444611,33,16,3,1,1,0
body,FBgn0028579,2,0.270952164,8,7,2,0,0,0
body,FBgn0042083,2,0.257922509,8,7,2,0,0,0
body,FBgn0027066,3,0.267196775,8,7,2,0,0,0
body,FBgn0033101,2,0.279542619,9,8,4,1,1,0
body,FBgn0033100,243,0.314156433,32,5,4,1,1,1
body,FBgn0010482,164,0.282105091,33,16,3,1,1,1
body,FBgn0033087,25,0.270633407,3,3,2,0,0,0
body,FBgn0033081,1012,0.315867439,41,11,0,0,0,3
body,FBgn0033079,128,0.282277291,24,9,3,1,1,1
body,FBgn0026761,6,0.265925135,33,16,3,1,1,0
body,FBgn0014028,568,0.31304492,14,10,4,1,1,1
body,FBgn0033122,45,0.283165399,25,7,2,0,0,0
body,FBgn0029506,938,0.321452638,49,16,3,1,1,2
body,FBgn0029507,1195,0.344687733,71,12,1,4,1,6
body,FBgn0022960,156,0.280471934,0,0,6,0,0,0
body,FBgn0033121,207,0.291214938,25,7,2,0,0,0
body,FBgn0022224,631,0.328921254,17,1,7,1,1,2
body,FBgn0034511,115,0.286567398,47,9,3,1,1,1
body,FBgn0034512,657,0.325020988,76,12,1,4,1,2
body,FBgn0034534,164,0.28693244,29,5,4,1,1,1
body,FBgn0034535,1,0.337067743,9,8,4,1,1,0
body,FBgn0034537,13,0.280181939,8,7,2,0,0,0
body,FBgn0034543,7,0.271331038,5,5,4,1,1,0
body,FBgn0000615,52,0.283067321,59,8,4,1,1,0
body,FBgn0034542,1,0.267754838,8,7,2,0,0,0
body,FBgn0034528,89,0.302805127,6,20,2,0,0,0
body,FBgn0028622,13,0.265760685,33,16,3,1,1,0
body,FBgn0034515,45,0.276257649,4,4,1,4,1,5
body,FBgn0034491,482,0.29946147,26,0,6,0,0,4
body,FBgn0010411,1525,0.361818709,50,1,7,1,1,2
body,FBgn0034509,344,0.300790535,47,9,3,1,1,1
body,FBgn0043535,193,0.296387029,47,9,3,1,1,1
body,FBgn0034503,5,0.271748506,8,7,2,0,0,0
body,FBgn0034501,808,0.311563786,35,18,1,4,1,1
body,FBgn0034500,365,0.28974882,4,4,1,4,1,1
body,FBgn0034498,226,0.283289907,0,0,6,0,0,0
body,FBgn0034497,347,0.300097628,4,4,1,4,1,1
body,FBgn0034494,41,0.283587114,3,3,2,0,0,0
body,FBgn0003114,12,0.274174273,59,8,4,1,1,0
body,FBgn0005655,135,0.292624727,59,8,4,1,1,0
body,FBgn0025720,1,0.267556579,9,8,4,1,1,0
body,FBgn0034490,554,0.30012951,62,19,1,4,1,1
body,FBgn0034488,2,0.261353891,9,8,4,1,1,0
body,FBgn0034455,52,0.28491219,59,8,4,1,1,0
body,FBgn0040729,430,0.327222272,48,9,3,1,1,6
body,FBgn0034470,898,0.3184528,76,12,1,4,1,2
body,FBgn0015949,3,0.263047751,8,7,2,0,0,0
body,FBgn0040732,742,0.318598022,20,6,3,1,1,7
body,FBgn0034452,1,0.278660679,8,7,2,0,0,0
body,FBgn0034451,30,0.29011947,9,8,4,1,1,0
body,FBgn0034422,1,0.254600484,8,7,2,0,0,0
body,FBgn0010434,478,0.299994821,35,18,1,4,1,1
body,FBgn0013954,1371,0.347453485,36,14,9,1,1,2
body,FBgn0034432,899,0.315808973,65,12,1,4,1,1
body,FBgn0034436,734,0.329752886,43,4,1,4,1,6
body,FBgn0012051,6,0.265011594,33,16,3,1,1,0
body,FBgn0040273,169,0.281413984,13,0,6,0,0,0
body,FBgn0013325,1785,0.372549189,75,1,7,1,1,2
body,FBgn0034447,1467,0.337601964,19,11,0,0,0,3
body,FBgn0020440,9,0.276642244,8,7,2,0,0,0
body,FBgn0034443,705,0.317817152,56,19,1,4,1,2
body,FBgn0034433,145,0.279081158,3,3,2,0,0,0
body,FBgn0034430,1,0.27403856,12,8,4,1,1,0
body,FBgn0034425,146,0.284794666,0,0,6,0,0,0
body,FBgn0027535,323,0.293383177,25,7,2,0,0,0
body,FBgn0034419,7,0.274484419,5,5,4,1,1,0
body,FBgn0034418,9,0.271390993,73,8,4,1,1,0
body,FBgn0041702,65,0.280772783,0,0,6,0,0,0
body,FBgn0014269,432,0.295820606,31,11,0,0,0,4
body,FBgn0010551,165,0.283624655,7,6,3,1,1,1
body,FBgn0034399,8,0.267880029,29,5,4,1,1,0
body,FBgn0004240,13,0.445702945,47,9,3,1,1,0
body,FBgn0034407,14,0.424124697,47,9,3,1,1,0
body,FBgn0034406,738,0.314697291,52,6,3,1,1,7
body,FBgn0010053,1220,0.325837454,53,19,1,4,1,2
body,FBgn0034403,7,0.274341119,59,8,4,1,1,0
body,FBgn0034401,1,0.266319031,8,7,2,0,0,0
body,FBgn0034400,7,0.269211438,3,3,2,0,0,0
body,FBgn0034398,1275,0.330487626,67,18,1,4,1,2
body,FBgn0034394,1299,0.33463731,57,14,9,1,1,2
body,FBgn0010651,573,0.299168444,4,4,1,4,1,1
body,FBgn0050122,6,0.278548306,3,3,2,0,0,0
body,FBgn0034368,42,0.27077037,33,16,3,1,1,5
body,FBgn0034329,182,0.310143753,47,9,3,1,1,1
body,FBgn0034330,296,0.296499672,47,9,3,1,1,1
body,FBgn0025583,255,0.317412813,47,9,3,1,1,1
body,FBgn0040736,649,0.314589764,49,16,3,1,1,1
body,FBgn0040735,381,0.306816902,47,9,3,1,1,1
body,FBgn0040734,52,0.339637233,47,9,3,1,1,1
body,FBgn0064237,65,0.274653261,7,6,3,1,1,1
body,FBgn0034335,26,0.280190381,7,6,3,1,1,5
body,FBgn0063497,1017,0.324432492,60,4,1,4,1,2
body,FBgn0063494,279,0.288567812,7,6,3,1,1,1
body,FBgn0063493,99,0.27785619,7,6,3,1,1,1
body,FBgn0063492,4,0.286964169,33,16,3,1,1,0
body,FBgn0063491,1545,0.348448284,57,14,9,1,1,2
body,FBgn0027835,390,0.305439499,44,16,3,1,1,1
body,FBgn0034345,352,0.291986537,42,13,4,1,1,1
body,FBgn0034346,5,0.27542433,8,7,2,0,0,0
body,FBgn0034354,2,0.308858262,59,8,4,1,1,0
body,FBgn0034362,11,0.273290653,5,5,4,1,1,0
body,FBgn0000566,57,0.287009037,5,5,4,1,1,0
body,FBgn0034361,59,0.277036013,29,5,4,1,1,1
body,FBgn0063499,399,0.300620263,20,6,3,1,1,1
body,FBgn0040733,331,0.315260663,47,9,3,1,1,1
body,FBgn0034331,352,0.311727085,47,9,3,1,1,1
body,FBgn0034300,267,0.290247899,0,0,6,0,0,0
body,FBgn0028983,787,0.315098185,60,4,1,4,1,1
body,FBgn0003044,929,0.316943403,45,15,6,0,0,3
body,FBgn0034308,239,0.285826788,0,0,6,0,0,0
body,FBgn0010575,1033,0.316915228,39,11,0,0,0,3
body,FBgn0034310,14,0.281265419,9,8,4,1,1,0
body,FBgn0022238,263,0.300402071,6,20,2,0,0,4
body,FBgn0034304,9,0.269439431,3,3,2,0,0,0
body,FBgn0062440,3,0.263968503,8,7,2,0,0,0
body,FBgn0001222,1137,0.321134215,39,11,0,0,0,3
body,FBgn0003520,449,0.29532896,27,0,6,0,0,4
body,FBgn0034299,15,0.271783385,29,5,4,1,1,0
body,FBgn0041585,98,0.275832705,0,0,6,0,0,0
body,FBgn0034296,776,0.349940946,43,4,1,4,1,6
body,FBgn0034295,1320,0.357839439,71,12,1,4,1,6
body,FBgn0034292,859,0.337288516,43,4,1,4,1,6
body,FBgn0034290,686,0.306201355,51,18,1,4,1,1
body,FBgn0034282,548,0.310622776,30,15,6,0,0,4
body,FBgn0029079,5,0.273434813,59,8,4,1,1,0
body,FBgn0029006,715,0.306726707,23,2,5,0,0,3
body,FBgn0034258,210,0.290428461,33,16,3,1,1,1
body,FBgn0050109,6,0.294474358,59,8,4,1,1,0
body,FBgn0045800,377,0.298926848,18,10,4,1,1,7
body,FBgn0034271,354,0.293313553,27,0,6,0,0,4
body,FBgn0034269,264,0.288830331,25,7,2,0,0,0
body,FBgn0034265,85,0.278903514,0,0,6,0,0,0
body,FBgn0027872,30,0.274767478,0,0,6,0,0,0
body,FBgn0016059,256,0.288894032,31,11,0,0,0,4
body,FBgn0034259,40,0.27880837,5,5,4,1,1,0
body,FBgn0026015,1,0.255904118,8,7,2,0,0,0
body,FBgn0040918,35,0.288166004,12,8,4,1,1,0
body,FBgn0023458,188,0.293740484,46,3,2,0,0,0
body,FBgn0029878,173,0.287809066,33,16,3,1,1,5
body,FBgn0029879,1,0.298104262,8,7,2,0,0,0
body,FBgn0029881,8,0.283940614,33,16,3,1,1,0
body,FBgn0028360,668,0.302723007,26,0,6,0,0,3
body,FBgn0062413,1,0.259995972,12,8,4,1,1,0
body,FBgn0025815,71,0.28162473,8,7,2,0,0,0
body,FBgn0028336,168,0.286127261,7,6,3,1,1,1
body,FBgn0029898,75,0.282086822,33,16,3,1,1,1
body,FBgn0029899,836,0.308461179,15,2,5,0,0,3
body,FBgn0029903,544,0.300333563,26,0,6,0,0,3
body,FBgn0029906,3,0.274731681,8,7,2,0,0,0
body,FBgn0029905,959,0.315860502,15,2,5,0,0,3
body,FBgn0029897,1681,0.367313849,55,1,7,1,1,2
body,FBgn0029896,1113,0.329201479,63,18,1,4,1,7
body,FBgn0029894,275,0.291643209,46,3,2,0,0,4
body,FBgn0029893,1059,0.319156181,39,11,0,0,0,3
body,FBgn0029887,4,0.295606351,3,3,2,0,0,0
body,FBgn0029885,6,0.267344945,5,5,4,1,1,0
body,FBgn0029882,36,0.286800351,59,8,4,1,1,0
body,FBgn0029912,2,0.261698485,8,7,2,0,0,0
body,FBgn0029914,164,0.279890825,13,0,6,0,0,0
body,FBgn0029924,5,0.283184141,8,7,2,0,0,0
body,FBgn0027108,57,0.291142078,12,8,4,1,1,0
body,FBgn0029929,3,0.262287494,29,5,4,1,1,0
body,FBgn0029932,378,0.294096324,4,4,1,4,1,1
body,FBgn0027342,305,0.290982009,13,0,6,0,0,0
body,FBgn0029936,1,0.257638101,8,7,2,0,0,0
body,FBgn0029935,14,0.271294623,0,0,6,0,0,0
body,FBgn0000330,1,0.264666082,8,7,2,0,0,0
body,FBgn0004646,686,0.306862525,35,18,1,4,1,1
body,FBgn0029925,3,0.27599152,9,8,4,1,1,0
body,FBgn0029915,44,0.274331372,59,8,4,1,1,0
body,FBgn0029913,1,0.25987324,9,8,4,1,1,0
body,FBgn0029911,13,0.279367235,6,20,2,0,0,0
body,FBgn0004198,56,0.280288887,33,16,3,1,1,0
body,FBgn0022786,145,0.27703499,13,0,6,0,0,0
body,FBgn0029957,54,0.273527468,0,0,6,0,0,0
body,FBgn0029959,2,0.269715797,9,8,4,1,1,0
body,FBgn0016041,203,0.289219078,6,20,2,0,0,0
body,FBgn0029958,7,0.26652055,8,7,2,0,0,0
body,FBgn0027553,36,0.270081239,8,7,2,0,0,0
body,FBgn0040087,1,0.270166994,12,8,4,1,1,0
body,FBgn0029975,475,0.300986861,42,13,4,1,1,1
body,FBgn0029976,483,0.296866206,31,11,0,0,0,4
body,FBgn0004403,1083,0.361936177,16,1,7,1,1,2
body,FBgn0004404,1396,0.358896111,55,1,7,1,1,2
body,FBgn0003447,164,0.287309842,27,0,6,0,0,0
body,FBgn0004657,2,0.259378771,12,8,4,1,1,0
body,FBgn0040319,6,0.276235148,6,20,2,0,0,0
body,FBgn0029997,252,0.284991521,13,0,6,0,0,0
body,FBgn0029996,1143,0.334031048,37,15,6,0,0,3
body,FBgn0029994,1426,0.339251354,58,12,1,4,1,2
body,FBgn0029992,1,0.265873734,9,8,4,1,1,0
body,FBgn0004656,1102,0.338899046,37,15,6,0,0,4
body,FBgn0029990,1687,0.349327678,66,12,1,4,1,2
body,FBgn0003656,74,0.278292068,0,0,6,0,0,0
body,FBgn0029979,658,0.313262259,30,15,6,0,0,3
body,FBgn0029969,21,0.272987508,33,16,3,1,1,0
body,FBgn0029999,4,0.29034815,9,8,4,1,1,0
body,FBgn0030008,177,0.282975408,25,7,2,0,0,0
body,FBgn0030010,58,0.274086877,3,3,2,0,0,0
body,FBgn0030013,27,0.276445005,8,7,2,0,0,0
body,FBgn0030025,9,0.27169826,8,7,2,0,0,0
body,FBgn0020653,135,0.285264198,7,6,3,1,1,5
body,FBgn0030030,371,0.296563653,31,11,0,0,0,0
body,FBgn0030034,87,0.287434264,13,0,6,0,0,0
body,FBgn0030035,1,0.258670309,9,8,4,1,1,0
body,FBgn0040928,197,0.285148275,0,0,6,0,0,0
body,FBgn0017566,1086,0.321886279,53,19,1,4,1,2
body,FBgn0030026,29,0.271699137,7,6,3,1,1,5
body,FBgn0030007,26,0.275073067,5,5,4,1,1,0
body,FBgn0025800,53,0.278899849,6,20,2,0,0,0
body,FBgn0030038,195,0.284037176,13,0,6,0,0,0
body,FBgn0053181,164,0.287557412,6,20,2,0,0,0
body,FBgn0030049,850,0.315873682,45,15,6,0,0,3
body,FBgn0030053,30,0.268327719,3,3,2,0,0,0
body,FBgn0025864,178,0.280767747,13,0,6,0,0,0
body,FBgn0030056,97,0.287330481,6,20,2,0,0,0
body,FBgn0030057,7,0.271828147,8,7,2,0,0,0
body,FBgn0030054,1044,0.323235881,45,15,6,0,0,3
body,FBgn0030048,1,0.272444617,8,7,2,0,0,0
body,FBgn0003023,913,0.322323081,45,15,6,0,0,3
body,FBgn0053223,402,0.315352214,22,13,4,1,1,5
body,FBgn0014032,12,0.269790603,5,5,4,1,1,0
body,FBgn0030040,1397,0.362849846,71,12,1,4,1,6
body,FBgn0030037,14,0.273141335,3,3,2,0,0,0
body,FBgn0041629,7,0.29093669,12,8,4,1,1,0
body,FBgn0030061,1,0.269806666,8,7,2,0,0,0
body,FBgn0030063,1,0.264090973,9,8,4,1,1,0
body,FBgn0030065,159,0.287014432,42,13,4,1,1,0
body,FBgn0030067,2,0.255991447,8,7,2,0,0,0
body,FBgn0011586,957,0.321321387,45,15,6,0,0,3
body,FBgn0011661,234,0.316960532,73,8,4,1,1,0
body,FBgn0030082,246,0.284447332,0,0,6,0,0,0
body,FBgn0052707,60,0.274309318,8,7,2,0,0,0
body,FBgn0052708,88,0.275797746,7,6,3,1,1,1
body,FBgn0030086,140,0.280897723,0,0,6,0,0,0
body,FBgn0030088,13,0.270800807,8,7,2,0,0,0
body,FBgn0030089,494,0.300176982,26,0,6,0,0,4
body,FBgn0030093,1047,0.321045616,39,11,0,0,0,3
body,FBgn0040467,2,0.264153125,9,8,4,1,1,0
body,FBgn0026206,1109,0.334691357,37,15,6,0,0,4
body,FBgn0030098,657,0.328686381,43,4,1,4,1,6
body,FBgn0030099,1,0.259804793,12,8,4,1,1,0
body,FBgn0010269,197,0.28280941,25,7,2,0,0,0
body,FBgn0030114,10,0.281717257,6,20,2,0,0,0
body,FBgn0028292,2,0.273739597,3,3,2,0,0,0
body,FBgn0030122,1,0.276353947,8,7,2,0,0,0
body,FBgn0040234,1,0.271470628,8,7,2,0,0,0
body,FBgn0040235,2,0.265411522,9,8,4,1,1,0
body,FBgn0040236,26,0.279269316,0,0,6,0,0,0
body,FBgn0030121,68,0.276305886,0,0,6,0,0,0
body,FBgn0000077,2,0.268630484,8,7,2,0,0,0
body,FBgn0030109,7,0.274128473,8,7,2,0,0,0
body,FBgn0030096,1,0.305899319,8,7,2,0,0,0
body,FBgn0040931,1565,0.352030631,74,1,7,1,1,2
body,FBgn0014868,284,0.292044422,7,6,3,1,1,1
body,FBgn0030092,1,0.257243156,9,8,4,1,1,0
body,FBgn0030090,638,0.305950519,30,15,6,0,0,3
body,FBgn0004856,38,0.274647417,8,7,2,0,0,0
body,FBgn0030087,10,0.278496958,3,3,2,0,0,0
body,FBgn0030081,72,0.277578196,13,0,6,0,0,0
body,FBgn0026149,124,0.282849537,25,7,2,0,0,0
body,FBgn0030136,1126,0.364301204,16,1,7,1,1,2
body,FBgn0001186,80,0.30159232,12,8,4,1,1,0
body,FBgn0030141,3,0.271513899,8,7,2,0,0,0
body,FBgn0052699,1,0.272804946,33,16,3,1,1,0
body,FBgn0030137,2,0.257306882,29,5,4,1,1,0
body,FBgn0028327,442,0.308936712,42,13,4,1,1,1
body,FBgn0052698,147,0.280636492,33,16,3,1,1,1
body,FBgn0026415,94,0.294294038,20,6,3,1,1,0
body,FBgn0030170,148,0.282207527,13,0,6,0,0,0
body,FBgn0004045,1629,0.356751343,66,12,1,4,1,1
body,FBgn0030174,6,0.270544107,8,7,2,0,0,0
body,FBgn0005391,1588,0.353220018,66,12,1,4,1,1
body,FBgn0028342,1814,0.356267573,69,14,9,1,1,2
body,FBgn0028480,79,0.281984791,4,4,1,4,1,1
body,FBgn0000711,10,0.283861291,6,20,2,0,0,0
body,FBgn0030206,1,0.265589719,9,8,4,1,1,0
body,FBgn0030208,13,0.26875025,3,3,2,0,0,0
body,FBgn0052687,1036,0.323882963,53,19,1,4,1,2
body,FBgn0030196,349,0.287216447,4,4,1,4,1,1
body,FBgn0028331,223,0.299534633,6,20,2,0,0,0
body,FBgn0011770,11,0.273440492,5,5,4,1,1,0
body,FBgn0052685,2,0.282529098,12,8,4,1,1,0
body,FBgn0003204,4,0.281487646,6,20,2,0,0,0
body,FBgn0030228,941,0.315983656,15,2,5,0,0,3
body,FBgn0052672,1153,0.324537445,63,18,1,4,1,2
body,FBgn0052675,5,0.267466733,12,8,4,1,1,0
body,FBgn0052676,875,0.319468586,2,2,5,0,0,3
body,FBgn0034564,201,0.301378326,10,5,4,1,1,1
body,FBgn0034570,441,0.297957999,27,0,6,0,0,4
body,FBgn0034576,1512,0.349826865,74,1,7,1,1,2
body,FBgn0034577,1,0.271152784,9,8,4,1,1,0
body,FBgn0034579,85,0.302436573,10,5,4,1,1,5
body,FBgn0034580,215,0.289201811,4,4,1,4,1,1
body,FBgn0003748,952,0.316712727,60,4,1,4,1,1
body,FBgn0034583,868,0.317071482,65,12,1,4,1,2
body,FBgn0003391,201,0.286362673,3,3,2,0,0,0
body,FBgn0001133,8,0.263936574,8,7,2,0,0,0
body,FBgn0050291,2,0.276235148,33,16,3,1,1,0
body,FBgn0034569,31,0.272851338,8,7,2,0,0,0
body,FBgn0040653,123,0.324599832,47,9,3,1,1,1
body,FBgn0002736,1,0.262996612,9,8,4,1,1,0
body,FBgn0021872,309,0.291318868,4,4,1,4,1,1
body,FBgn0003891,43,0.283910876,12,8,4,1,1,0
body,FBgn0016726,1048,0.360225603,16,1,7,1,1,2
body,FBgn0020306,1284,0.337036625,54,2,5,0,0,3
body,FBgn0034628,77,0.298849288,24,9,3,1,1,5
body,FBgn0034629,6,0.271694064,33,16,3,1,1,0
body,FBgn0034626,170,0.28085755,13,0,6,0,0,0
body,FBgn0050394,1,0.307283201,8,7,2,0,0,0
body,FBgn0034614,9,0.275009139,8,7,2,0,0,0
body,FBgn0050392,3,0.276399315,8,7,2,0,0,0
body,FBgn0027073,702,0.306984956,60,4,1,4,1,1
body,FBgn0034598,67,0.277579306,3,3,2,0,0,0
body,FBgn0050389,195,0.294187215,13,0,6,0,0,0
body,FBgn0020312,119,0.281394534,8,7,2,0,0,0
body,FBgn0026369,9,0.266926397,8,7,2,0,0,0
body,FBgn0003731,661,0.303953099,35,18,1,4,1,1
body,FBgn0034641,274,0.296657248,13,0,6,0,0,0
body,FBgn0034644,5,0.267916435,33,16,3,1,1,0
